year,team,matches,wins,draws,losses,goals_for,goals_against,points,gdp_per_capita,goal_difference,win_percentage,goals_per_match,goals_conceded_per_match,points_per_match
1930,Argentina,5,4,0,1,18.0,9.0,12,,9.0,0.8,3.6,1.8,2.4
1930,Belgium,2,0,0,2,0.0,4.0,0,,-4.0,0.0,0.0,2.0,0.0
1930,Bolivia,2,0,0,2,0.0,8.0,0,,-8.0,0.0,0.0,4.0,0.0
1930,Brazil,2,1,0,1,5.0,2.0,3,,3.0,0.5,2.5,1.0,1.5
1930,Chile,3,2,0,1,5.0,3.0,6,,2.0,0.667,1.67,1.0,2.0
1930,France,3,1,0,2,4.0,3.0,3,,1.0,0.333,1.33,1.0,1.0
1930,Mexico,3,0,0,3,4.0,13.0,0,,-9.0,0.0,1.33,4.33,0.0
1930,Paraguay,2,1,0,1,1.0,3.0,3,,-2.0,0.5,0.5,1.5,1.5
1930,Peru,2,0,0,2,1.0,4.0,0,,-3.0,0.0,0.5,2.0,0.0
1930,Romania,2,1,0,1,3.0,5.0,3,,-2.0,0.5,1.5,2.5,1.5
1930,United States,3,2,0,1,7.0,6.0,6,,1.0,0.667,2.33,2.0,2.0
1930,Uruguay,4,4,0,0,15.0,3.0,12,,12.0,1.0,3.75,0.75,3.0
1930,Yugoslavia,3,2,0,1,7.0,7.0,6,,0.0,0.667,2.33,2.33,2.0
1934,Argentina,1,0,0,1,2.0,3.0,0,,-1.0,0.0,2.0,3.0,0.0
1934,Austria,4,2,0,2,7.0,7.0,6,,0.0,0.5,1.75,1.75,1.5
1934,Belgium,1,0,0,1,2.0,5.0,0,,-3.0,0.0,2.0,5.0,0.0
1934,Brazil,1,0,0,1,1.0,3.0,0,,-2.0,0.0,1.0,3.0,0.0
1934,Czechoslovakia,4,3,0,1,9.0,6.0,9,,3.0,0.75,2.25,1.5,2.25
1934,Egypt,1,0,0,1,2.0,4.0,0,,-2.0,0.0,2.0,4.0,0.0
1934,France,1,0,0,1,2.0,3.0,0,,-1.0,0.0,2.0,3.0,0.0
1934,Germany,4,3,0,1,11.0,8.0,9,,3.0,0.75,2.75,2.0,2.25
1934,Hungary,2,1,0,1,5.0,4.0,3,,1.0,0.5,2.5,2.0,1.5
1934,Italy,5,4,1,0,12.0,3.0,13,,9.0,0.8,2.4,0.6,2.6
1934,Netherlands,1,0,0,1,2.0,3.0,0,,-1.0,0.0,2.0,3.0,0.0
1934,Romania,1,0,0,1,1.0,2.0,0,,-1.0,0.0,1.0,2.0,0.0
1934,Spain,3,1,1,1,4.0,3.0,4,,1.0,0.333,1.33,1.0,1.33
1934,Sweden,2,1,0,1,4.0,4.0,3,,0.0,0.5,2.0,2.0,1.5
1934,Switzerland,2,1,0,1,5.0,5.0,3,,0.0,0.5,2.5,2.5,1.5
1934,United States,1,0,0,1,1.0,7.0,0,,-6.0,0.0,1.0,7.0,0.0
1938,Belgium,1,0,0,1,1.0,3.0,0,,-2.0,0.0,1.0,3.0,0.0
1938,Brazil,5,3,1,1,14.0,11.0,10,,3.0,0.6,2.8,2.2,2.0
1938,Cuba,3,1,1,1,5.0,12.0,4,,-7.0,0.333,1.67,4.0,1.33
1938,Czechoslovakia,3,1,1,1,5.0,3.0,4,,2.0,0.333,1.67,1.0,1.33
1938,France,2,1,0,1,4.0,4.0,3,,0.0,0.5,2.0,2.0,1.5
1938,Germany,2,0,1,1,3.0,5.0,1,,-2.0,0.0,1.5,2.5,0.5
1938,Hungary,4,3,0,1,15.0,5.0,9,,10.0,0.75,3.75,1.25,2.25
1938,Indonesia,1,0,0,1,0.0,6.0,0,,-6.0,0.0,0.0,6.0,0.0
1938,Italy,4,4,0,0,11.0,5.0,12,,6.0,1.0,2.75,1.25,3.0
1938,Netherlands,1,0,0,1,0.0,3.0,0,,-3.0,0.0,0.0,3.0,0.0
1938,Norway,1,0,0,1,1.0,2.0,0,,-1.0,0.0,1.0,2.0,0.0
1938,Poland,1,0,0,1,5.0,6.0,0,,-1.0,0.0,5.0,6.0,0.0
1938,Romania,2,0,1,1,4.0,5.0,1,,-1.0,0.0,2.0,2.5,0.5
1938,Sweden,3,1,0,2,11.0,9.0,3,,2.0,0.333,3.67,3.0,1.0
1938,Switzerland,3,1,1,1,5.0,5.0,4,,0.0,0.333,1.67,1.67,1.33
1950,Bolivia,1,0,0,1,0.0,8.0,0,,-8.0,0.0,0.0,8.0,0.0
1950,Brazil,6,4,1,1,22.0,6.0,13,,16.0,0.667,3.67,1.0,2.17
1950,Chile,3,1,0,2,5.0,6.0,3,,-1.0,0.333,1.67,2.0,1.0
1950,England,3,1,0,2,2.0,2.0,3,,0.0,0.333,0.67,0.67,1.0
1950,Italy,2,1,0,1,4.0,3.0,3,,1.0,0.5,2.0,1.5,1.5
1950,Mexico,3,0,0,3,2.0,10.0,0,,-8.0,0.0,0.67,3.33,0.0
1950,Paraguay,2,0,1,1,2.0,4.0,1,,-2.0,0.0,1.0,2.0,0.5
1950,Spain,6,3,1,2,10.0,12.0,10,,-2.0,0.5,1.67,2.0,1.67
1950,Sweden,5,2,1,2,11.0,15.0,7,,-4.0,0.4,2.2,3.0,1.4
1950,Switzerland,3,1,1,1,4.0,6.0,4,,-2.0,0.333,1.33,2.0,1.33
1950,United States,3,1,0,2,4.0,8.0,3,,-4.0,0.333,1.33,2.67,1.0
1950,Uruguay,4,3,1,0,15.0,5.0,10,,10.0,0.75,3.75,1.25,2.5
1950,Yugoslavia,3,2,0,1,7.0,3.0,6,,4.0,0.667,2.33,1.0,2.0
1954,Austria,5,4,0,1,17.0,12.0,12,,5.0,0.8,3.4,2.4,2.4
1954,Belgium,2,0,1,1,5.0,8.0,1,,-3.0,0.0,2.5,4.0,0.5
1954,Brazil,3,1,1,1,8.0,5.0,4,,3.0,0.333,2.67,1.67,1.33
1954,Czechoslovakia,2,0,0,2,0.0,7.0,0,,-7.0,0.0,0.0,3.5,0.0
1954,England,3,1,1,1,8.0,8.0,4,,0.0,0.333,2.67,2.67,1.33
1954,France,2,1,0,1,3.0,3.0,3,,0.0,0.5,1.5,1.5,1.5
1954,Germany,6,5,0,1,25.0,14.0,15,,11.0,0.833,4.17,2.33,2.5
1954,Hungary,5,4,0,1,27.0,10.0,12,,17.0,0.8,5.4,2.0,2.4
1954,Italy,3,1,0,2,6.0,7.0,3,,-1.0,0.333,2.0,2.33,1.0
1954,Mexico,2,0,0,2,2.0,8.0,0,,-6.0,0.0,1.0,4.0,0.0
1954,Scotland,2,0,0,2,0.0,8.0,0,,-8.0,0.0,0.0,4.0,0.0
